date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
15-04-2026,216100.0,304604.55,1930.04,88504.55,40.96%,16.75%,157.823
16-04-2026,216100.0,306781.63,1930.04,90681.63,41.96%,17.08%,158.951
17-04-2026,216100.0,310110.95,1930.04,94010.95,43.50%,17.59%,160.68
20-04-2026,216100.0,310695.75,1930.04,94595.75,43.77%,17.64%,160.98
21-04-2026,216100.0,313233.75,1930.04,97133.75,44.95%,18.03%,162.29
22-04-2026,216100.0,314104.2,1930.04,98004.2,45.35%,18.15%,162.75
23-04-2026,216100.0,313704.68,1930.04,97604.68,45.17%,18.06%,162.54
24-04-2026,216100.0,311241.95,1930.04,95141.95,44.03%,17.64%,161.26
27-04-2026,216100.0,315073.08,1930.04,98973.08,45.80%,18.19%,163.25
28-04-2026,216100.0,314183.33,1930.04,98083.33,45.39%,18.02%,162.79
29-04-2026,216100.0,313451.84,1930.04,97351.84,45.05%,17.88%,162.41
30-04-2026,216100.0,309806.0,1930.04,93706.0,43.36%,17.27%,160.52
04-05-2026,216100.0,313096.72,1930.04,96996.72,44.89%,17.71%,162.22
05-05-2026,216100.0,313586.95,1930.04,97486.95,45.11%,17.77%,162.48
06-05-2026,216100.0,318392.74,1930.04,102292.74,47.34%,18.50%,164.97
07-05-2026,216100.0,320388.4,1930.04,104288.4,48.26%,18.79%,166.0
08-05-2026,216100.0,319579.72,1930.04,103479.72,47.89%,18.64%,165.58
11-05-2026,216100.0,315679.11,1930.04,99579.11,46.08%,17.96%,163.56
12-05-2026,216100.0,307576.81,1930.04,91476.81,42.33%,16.66%,159.36
13-05-2026,216100.0,308694.3,1930.04,92594.3,42.85%,16.82%,159.94
14-05-2026,216100.0,311226.51,1930.04,95126.51,44.02%,17.20%,161.25
