date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
15-04-2026,201000.0,189834.11,1791.6,-11165.89,-5.56%,-17.33%,105.9581
16-04-2026,201000.0,190592.31,1791.6,-10407.69,-5.18%,-16.08%,106.3813
17-04-2026,201000.0,191511.58,1791.6,-9488.42,-4.72%,-14.49%,106.89
20-04-2026,201000.0,190842.24,1791.6,-10157.76,-5.05%,-15.21%,106.52
21-04-2026,201000.0,192501.79,1791.6,-8498.21,-4.23%,-12.73%,107.45
22-04-2026,201000.0,191802.71,1791.6,-9197.29,-4.58%,-13.62%,107.06
23-04-2026,201000.0,190716.11,1791.6,-10283.89,-5.12%,-15.03%,106.45
24-04-2026,201000.0,187718.05,1791.6,-13281.95,-6.61%,-18.98%,104.78
27-04-2026,201000.0,188798.92,1791.6,-12201.08,-6.07%,-17.13%,105.38
28-04-2026,201000.0,189167.1,1791.6,-11832.9,-5.89%,-16.52%,105.59
29-04-2026,201000.0,189616.61,1791.6,-11383.39,-5.66%,-15.80%,105.84
30-04-2026,201000.0,187878.76,1791.6,-13121.24,-6.53%,-17.94%,104.87
04-05-2026,201000.0,188812.9,1791.6,-12187.1,-6.06%,-16.26%,105.39
05-05-2026,201000.0,188538.78,1791.6,-12461.22,-6.20%,-16.49%,105.24
06-05-2026,201000.0,192461.13,1791.6,-8538.87,-4.25%,-11.40%,107.42
07-05-2026,201000.0,193993.66,1791.6,-7006.34,-3.49%,-9.35%,108.28
08-05-2026,201000.0,194687.0,1791.6,-6313.0,-3.14%,-8.38%,108.67
11-05-2026,201000.0,191182.1,1791.6,-9817.9,-4.88%,-12.59%,106.71
12-05-2026,201000.0,185469.96,1791.6,-15530.04,-7.73%,-19.34%,103.52
13-05-2026,201000.0,185849.6,1791.6,-15150.4,-7.54%,-18.77%,103.73
14-05-2026,221000.0,208050.67,1984.39,-12949.33,-5.86%,-16.07%,104.84
15-05-2026,221000.0,207815.33,1984.39,-13184.67,-5.97%,-16.22%,104.73
18-05-2026,221000.0,207982.21,1984.39,-13017.79,-5.89%,-15.69%,104.81
19-05-2026,221000.0,210248.78,1984.39,-10751.22,-4.86%,-12.97%,105.95
20-05-2026,221000.0,211043.53,1984.39,-9956.47,-4.51%,-11.96%,106.35
21-05-2026,221000.0,210839.13,1984.39,-10160.87,-4.60%,-12.11%,106.25
22-05-2026,221000.0,210334.9,1984.39,-10665.1,-4.83%,-12.60%,105.99
25-05-2026,221000.0,212369.69,1984.39,-8630.31,-3.91%,-10.05%,107.02
26-05-2026,221000.0,213403.56,1984.39,-7596.44,-3.44%,-8.82%,107.54
27-05-2026,221000.0,213438.88,1984.39,-7561.12,-3.42%,-8.72%,107.56
29-05-2026,221000.0,210911.76,1984.39,-10088.24,-4.56%,-11.38%,106.29
01-06-2026,221000.0,208229.67,1984.39,-12770.33,-5.78%,-14.01%,104.93
02-06-2026,221000.0,209628.86,1984.39,-11371.14,-5.15%,-12.44%,105.64
03-06-2026,231000.0,216462.58,2079.04,-14537.42,-6.29%,-15.65%,104.12
04-06-2026,231000.0,218189.01,2079.04,-12810.99,-5.55%,-13.77%,104.95
05-06-2026,231000.0,218533.72,2079.04,-12466.28,-5.40%,-13.33%,105.11
08-06-2026,231000.0,214801.0,2079.04,-16199.0,-7.01%,-16.80%,103.32
