date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
15-04-2026,260000.0,369559.3,1973.31,109559.3,42.14%,11.85%,187.2786
16-04-2026,260000.0,371637.19,1973.31,111637.19,42.94%,12.03%,188.3316
17-04-2026,260000.0,375963.88,1973.31,115963.88,44.60%,12.42%,190.52
20-04-2026,260000.0,377017.83,1973.31,117017.83,45.01%,12.50%,191.06
21-04-2026,260000.0,380138.42,1973.31,120138.42,46.21%,12.78%,192.64
22-04-2026,260000.0,383203.18,1973.31,123203.18,47.39%,13.05%,194.19
23-04-2026,260000.0,380911.96,1973.31,120911.96,46.50%,12.83%,193.03
24-04-2026,260000.0,376986.65,1973.31,116986.65,44.99%,12.45%,191.04
27-04-2026,260000.0,382490.61,1973.31,122490.61,47.11%,12.92%,193.83
28-04-2026,260000.0,381805.08,1973.31,121805.08,46.85%,12.85%,193.48
29-04-2026,260000.0,383123.26,1973.31,123123.26,47.36%,12.96%,194.15
30-04-2026,260000.0,381664.58,1973.31,121664.58,46.79%,12.81%,193.41
04-05-2026,260000.0,385677.91,1973.31,125677.91,48.34%,13.13%,195.45
05-05-2026,260000.0,383931.33,1973.31,123931.33,47.67%,12.96%,194.56
06-05-2026,260000.0,386776.45,1973.31,126776.45,48.76%,13.21%,196.0
07-05-2026,260000.0,389680.58,1973.31,129680.58,49.88%,13.46%,197.48
08-05-2026,260000.0,388510.01,1973.31,128510.01,49.43%,13.34%,196.88
11-05-2026,260000.0,385952.4,1973.31,125952.4,48.44%,13.08%,195.59
12-05-2026,260000.0,376143.45,1973.31,116143.45,44.67%,12.17%,190.62
13-05-2026,260000.0,375845.09,1973.31,115845.09,44.56%,12.13%,190.46
14-05-2026,260000.0,374800.22,1973.31,114800.22,44.15%,12.03%,189.93
15-05-2026,260000.0,375404.05,1973.31,115404.05,44.39%,12.07%,190.24
18-05-2026,260000.0,370810.38,1973.31,110810.38,42.62%,11.62%,187.91
19-05-2026,260000.0,374051.94,1973.31,114051.94,43.87%,11.90%,189.56
20-05-2026,260000.0,374665.24,1973.31,114665.24,44.10%,11.95%,189.87
21-05-2026,260000.0,378397.57,1973.31,118397.57,45.54%,12.28%,191.76
22-05-2026,260000.0,379118.22,1973.31,119118.22,45.81%,12.33%,192.12
25-05-2026,260000.0,381954.27,1973.31,121954.27,46.91%,12.56%,193.56
26-05-2026,260000.0,383268.3,1973.31,123268.3,47.41%,12.66%,194.23
