date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
15-04-2026,180000.0,565232.31,1390.83,385232.31,214.02%,14.7%,406.3984
16-04-2026,180000.0,568576.7,1390.83,388576.7,215.88%,14.77%,408.803
17-04-2026,180000.0,578180.4,1390.83,398180.4,221.21%,14.99%,415.71
20-04-2026,180000.0,579189.18,1390.83,399189.18,221.77%,15.01%,416.43
21-04-2026,180000.0,582964.31,1390.83,402964.31,223.87%,15.09%,419.15
22-04-2026,180000.0,585858.64,1390.83,405858.64,225.48%,15.15%,421.23
23-04-2026,180000.0,587379.1,1390.83,407379.1,226.32%,15.18%,422.32
24-04-2026,180000.0,585239.3,1390.83,405239.3,225.13%,15.13%,420.78
27-04-2026,180000.0,590378.84,1390.83,410378.84,227.99%,15.23%,424.48
28-04-2026,180000.0,595729.1,1390.83,415729.1,230.96%,15.35%,428.33
29-04-2026,180000.0,594945.51,1390.83,414945.51,230.53%,15.33%,427.76
30-04-2026,180000.0,591468.84,1390.83,411468.84,228.59%,15.24%,425.26
04-05-2026,180000.0,594279.99,1390.83,414279.99,230.16%,15.28%,427.28
05-05-2026,180000.0,598591.71,1390.83,418591.71,232.55%,15.38%,430.38
06-05-2026,180000.0,602485.07,1390.83,422485.07,234.71%,15.46%,433.18
07-05-2026,180000.0,611238.7,1390.83,431238.7,239.58%,15.66%,439.48
08-05-2026,180000.0,611192.52,1390.83,431192.52,239.55%,15.65%,439.44
11-05-2026,180000.0,602970.61,1390.83,422970.61,234.98%,15.45%,433.53
12-05-2026,180000.0,588461.86,1390.83,408461.86,226.92%,15.11%,423.1
13-05-2026,180000.0,593606.27,1390.83,413606.27,229.78%,15.22%,426.8
14-05-2026,180000.0,599069.46,1390.83,419069.46,232.82%,15.34%,430.73
15-05-2026,180000.0,596713.67,1390.83,416713.67,231.51%,15.28%,429.03
18-05-2026,180000.0,595183.48,1390.83,415183.48,230.66%,15.23%,427.93
19-05-2026,180000.0,598642.62,1390.83,418642.62,232.58%,15.30%,430.42
20-05-2026,180000.0,605601.93,1390.83,425601.93,236.45%,15.46%,435.42
21-05-2026,180000.0,608251.88,1390.83,428251.88,237.92%,15.51%,437.33
22-05-2026,180000.0,609199.04,1390.83,429199.04,238.44%,15.53%,438.01
25-05-2026,180000.0,612128.97,1390.83,432128.97,240.07%,15.58%,440.12
26-05-2026,180000.0,616282.14,1390.83,436282.14,242.38%,15.66%,443.1
27-05-2026,180000.0,620605.82,1390.83,440605.82,244.78%,15.75%,446.21
29-05-2026,180000.0,620240.17,1390.83,440240.17,244.58%,15.74%,445.95
01-06-2026,180000.0,612561.52,1390.83,432561.52,240.31%,15.55%,440.43
02-06-2026,180000.0,613844.28,1390.83,433844.28,241.02%,15.57%,441.35
03-06-2026,180000.0,616184.92,1390.83,436184.92,242.32%,15.62%,443.03
04-06-2026,180000.0,620085.37,1390.83,440085.37,244.49%,15.70%,445.84
05-06-2026,180000.0,616355.15,1390.83,436355.15,242.42%,15.61%,443.16
08-06-2026,180000.0,605549.91,1390.83,425549.91,236.42%,15.35%,435.39
09-06-2026,180000.0,614451.24,1390.83,434451.24,241.36%,15.55%,441.79
10-06-2026,180000.0,604992.19,1390.83,424992.19,236.11%,15.33%,434.99
11-06-2026,180000.0,600004.52,1390.83,420004.52,233.34%,15.21%,431.4
12-06-2026,180000.0,616171.56,1390.83,436171.56,242.32%,15.57%,443.02
15-06-2026,180000.0,620916.95,1390.83,440916.95,244.95%,15.66%,446.44
16-06-2026,180000.0,621542.27,1390.83,441542.27,245.30%,15.67%,446.88
17-06-2026,180000.0,627520.62,1390.83,447520.62,248.62%,15.79%,451.18
18-06-2026,180000.0,633663.79,1390.83,453663.79,252.04%,15.92%,455.6
19-06-2026,180000.0,641639.25,1390.83,461639.25,256.47%,16.08%,461.33
22-06-2026,180000.0,645886.16,1390.83,465886.16,258.83%,16.16%,464.39
23-06-2026,180000.0,641584.87,1390.83,461584.87,256.44%,16.06%,461.3
24-06-2026,180000.0,639591.8,1390.83,459591.8,255.33%,16.01%,459.86
25-06-2026,180000.0,633704.27,1390.83,453704.27,252.06%,15.88%,455.63
29-06-2026,180000.0,637213.76,1390.83,457213.76,254.01%,15.93%,458.15
30-06-2026,180000.0,641408.92,1390.83,461408.92,256.34%,16.02%,461.17
01-07-2026,180000.0,640060.79,1390.83,460060.79,255.59%,15.98%,460.2
02-07-2026,180000.0,640600.29,1390.83,460600.29,255.89%,15.99%,460.59
03-07-2026,180000.0,630810.78,1390.83,450810.78,250.45%,15.77%,453.55
06-07-2026,180000.0,635067.56,1390.83,455067.56,252.82%,15.85%,456.61
07-07-2026,180000.0,628503.25,1390.83,448503.25,249.17%,15.70%,451.89
08-07-2026,180000.0,620841.56,1390.83,440841.56,244.91%,15.53%,446.38
09-07-2026,180000.0,631172.12,1390.83,451172.12,250.65%,15.75%,453.81
