date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
15-04-2026,325000.0,417922.55,1557.13,92922.55,28.59%,12.24%,268.3925
16-04-2026,325000.0,419255.92,1557.13,94255.92,29.0%,12.39%,269.2488
17-04-2026,325000.0,423388.24,1557.13,98388.24,30.27%,12.85%,271.9
20-04-2026,325000.0,422315.84,1557.13,97315.84,29.94%,12.69%,271.21
21-04-2026,325000.0,424992.24,1557.13,99992.24,30.77%,12.99%,272.93
22-04-2026,325000.0,430571.13,1557.13,105571.13,32.48%,13.63%,276.52
23-04-2026,325000.0,428884.45,1557.13,103884.45,31.96%,13.41%,275.43
24-04-2026,325000.0,425266.3,1557.13,100266.3,30.85%,12.97%,273.11
27-04-2026,325000.0,431609.9,1557.13,106609.9,32.80%,13.66%,277.18
28-04-2026,325000.0,434084.02,1557.13,109084.02,33.56%,13.93%,278.77
29-04-2026,325000.0,436561.89,1557.13,111561.89,34.33%,14.20%,280.36
30-04-2026,325000.0,436747.34,1557.13,111747.34,34.38%,14.20%,280.48
04-05-2026,325000.0,441643.43,1557.13,116643.43,35.89%,14.68%,283.63
05-05-2026,325000.0,443256.31,1557.13,118256.31,36.39%,14.85%,284.66
06-05-2026,325000.0,450162.5,1557.13,125162.5,38.51%,15.60%,289.1
07-05-2026,325000.0,455987.89,1557.13,130987.89,40.30%,16.22%,292.84
08-05-2026,325000.0,454982.29,1557.13,129982.29,39.99%,16.09%,292.19
11-05-2026,325000.0,450646.77,1557.13,125646.77,38.66%,15.55%,289.41
12-05-2026,325000.0,441069.63,1557.13,116069.63,35.71%,14.47%,283.26
13-05-2026,325000.0,443669.42,1557.13,118669.42,36.51%,14.74%,284.93
14-05-2026,325000.0,446754.72,1557.13,121754.72,37.46%,15.07%,286.91
15-05-2026,325000.0,444355.64,1557.13,119355.64,36.72%,14.78%,285.37
18-05-2026,325000.0,440681.28,1557.13,115681.28,35.59%,14.32%,283.01
19-05-2026,325000.0,442893.5,1557.13,117893.5,36.27%,14.55%,284.43
20-05-2026,325000.0,445162.24,1557.13,120162.24,36.97%,14.78%,285.89
21-05-2026,325000.0,446982.84,1557.13,121982.84,37.53%,14.96%,287.06
22-05-2026,325000.0,446668.92,1557.13,121668.92,37.44%,14.91%,286.85
25-05-2026,325000.0,453516.41,1557.13,128516.41,39.54%,15.59%,291.25
26-05-2026,325000.0,455068.87,1557.13,130068.87,40.02%,15.74%,292.25
27-05-2026,325000.0,458129.26,1557.13,133129.26,40.96%,16.05%,294.21
29-05-2026,325000.0,456126.63,1557.13,131126.63,40.35%,15.79%,292.93
01-06-2026,325000.0,453375.49,1557.13,128375.49,39.50%,15.44%,291.16
02-06-2026,325000.0,456195.14,1557.13,131195.14,40.37%,15.72%,292.97
03-06-2026,325000.0,456604.04,1557.13,131604.04,40.49%,15.75%,293.23
