date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
15-04-2026,635799.0,755557.48,8250.89,119758.48,18.84%,12.25%,91.5729
16-04-2026,635799.0,754501.37,8250.89,118702.37,18.67%,12.13%,91.4449
17-04-2026,635799.0,758959.32,8250.89,123160.32,19.37%,12.49%,91.99
20-04-2026,635799.0,756371.85,8250.89,120572.85,18.96%,12.19%,91.67
21-04-2026,635799.0,760659.83,8250.89,124860.83,19.64%,12.56%,92.19
22-04-2026,635799.0,754815.73,8250.89,119016.73,18.72%,12.01%,91.48
23-04-2026,635799.0,751478.25,8250.89,115679.25,18.19%,11.68%,91.08
24-04-2026,635799.0,747200.16,8250.89,111401.16,17.52%,11.28%,90.56
27-04-2026,635799.0,751175.44,8250.89,115376.44,18.15%,11.58%,91.04
28-04-2026,635799.0,748573.11,8250.89,112774.11,17.74%,11.32%,90.73
29-04-2026,635799.0,754152.36,8250.89,118353.36,18.61%,11.80%,91.4
30-04-2026,635799.0,753224.96,8250.89,117425.96,18.47%,11.70%,91.29
04-05-2026,635799.0,752951.85,8250.89,117152.85,18.43%,11.59%,91.26
05-05-2026,635799.0,752125.94,8250.89,116326.94,18.30%,11.50%,91.16
06-05-2026,637799.0,760576.15,8272.82,122777.15,19.25%,12.05%,91.94
07-05-2026,637799.0,759500.69,8272.82,121701.69,19.08%,11.93%,91.81
08-05-2026,637799.0,757166.1,8272.82,119367.1,18.72%,11.71%,91.52
